Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Brightness
35.677978515625,58.618896484375,70.76806640625,2.826279338277786,3.914930898305009,2.3073032341545856,55.021647135416664
30.34912109375,51.290283203125,65.028564453125,3.384562438395664,3.714146746240446,2.72886310349982,48.889322916666664
42.42724609375,66.6767578125,88.30615234375,5.205548406544248,5.689732291656631,3.409476860335964,65.80338541666667
70.8984375,87.3466796875,124.896728515625,12.469922309394864,9.241070896777869,8.466923756072212,94.380615234375
41.64697265625,66.567626953125,77.241943359375,6.266414430881891,4.170887855296643,3.1582308964401795,61.81884765625
43.024658203125,64.8291015625,81.900146484375,4.7031641796926085,3.5589473477504634,2.784415329749197,63.251302083333336
127.647705078125,126.1669921875,136.530517578125,33.79287871667485,28.827662501980004,26.730498994405725,130.11507161458334
60.7314453125,85.0595703125,98.094482421875,10.497379112119928,7.841188962562926,5.796273454779513,81.295166015625
75.756591796875,87.91796875,102.689453125,16.51006086810483,9.515797380160713,11.437168971206455,88.78800455729167
109.551513671875,112.600341796875,122.232666015625,33.870686744740794,26.40561555969298,24.64299424488222,114.79484049479169
75.65380859375,96.482421875,109.292236328125,24.99880417347975,16.654965463887084,15.239311644982491,93.80948893229169
89.305908203125,102.4462890625,106.536865234375,23.19356230251481,16.796302196583117,15.687409995303383,99.4296875
34.02587890625,60.9375,71.927490234375,2.7506771554403295,4.085212949620864,2.5227221605864583,55.630289713541664
42.390625,69.075439453125,78.68896484375,7.650651652187871,6.508402194339806,4.091117390955255,63.385009765625
43.338623046875,71.44921875,75.784423828125,4.351761099428608,4.158641156032633,2.95418492223231,63.524088541666664
99.93603515625,102.26123046875,109.977783203125,22.16497118340703,18.417590438177484,17.77569510573529,104.058349609375
131.818603515625,133.781005859375,158.852294921875,30.18426573646991,25.347904263483933,23.180379415585957,141.48396809895834
74.260986328125,85.382568359375,96.7197265625,34.17685793864624,25.805355754010257,20.558606715472767,85.45442708333333
92.115234375,101.666259765625,109.008544921875,28.321189035465448,21.66038006872419,21.669507468732075,100.93001302083331
61.334228515625,83.87841796875,94.011962890625,24.21249637588962,20.474280336795164,16.03496860668498,79.74153645833333
115.341064453125,112.972412109375,124.962158203125,29.723187977645324,25.865609532474117,24.20190510221322,117.758544921875
39.367919921875,67.18359375,73.005126953125,8.38732978645245,8.431275735169674,4.543649315800753,59.852213541666664
64.228515625,72.853515625,88.923095703125,20.237771851549788,17.04407565648929,12.328162380592136,75.33504231770833
106.478515625,116.98583984375,124.47802734375,41.38125457049219,32.37053230933923,26.442347841859227,115.98079427083331
