Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Brightness,Label
38.9072265625,61.089111328125,77.587158203125,3.355147998120863,3.718371644527319,2.4447450680240714,59.194498697916664,Forest
45.481689453125,66.98193359375,82.469482421875,3.5081735862658134,3.7722860913463614,2.5166528035617834,64.97770182291667,Forest
45.1845703125,73.712646484375,76.64501953125,6.167867861424534,7.254827072210816,4.319566741648522,65.18074544270833,Forest
35.67724609375,60.892333984375,72.488525390625,3.244260231123633,3.4497480407566634,2.4421760383088054,56.352701822916664,Forest
35.402099609375,58.65283203125,68.91357421875,4.031454147669979,4.095310030415768,2.4153341752406283,54.322835286458336,Forest
34.141845703125,61.91748046875,68.423095703125,3.1609876126188747,3.399294374677233,2.306991705473204,54.827473958333336,Forest
35.97265625,62.6416015625,67.601806640625,5.293600054602344,6.110870802614596,3.804472421758982,55.405354817708336,Forest
36.270751953125,58.09033203125,77.498291015625,2.7364160277183727,2.8412840075624697,1.9500593463719011,57.286458333333336,Forest
37.410888671875,65.005126953125,76.427734375,4.241186701850061,4.684188734986738,3.1824642120051183,59.614583333333336,Forest
48.958984375,94.203369140625,73.33349609375,6.92621388727318,11.82387838135256,4.793194952790205,72.165283203125,Forest
41.72998046875,65.1640625,83.5556640625,4.393469896789271,4.8355714724160315,2.949746272926876,63.483235677083336,Forest
35.241943359375,61.497314453125,78.074951171875,2.571213943885133,3.7559838475209104,2.0802966795530784,58.271402994791664,Forest
32.201171875,56.677734375,61.299560546875,5.280423252018628,5.656349476313619,3.92319571913395,50.059488932291664,Forest
50.784423828125,92.292236328125,74.32666015625,8.61775973055032,7.199805924495397,4.286006957801017,72.4677734375,Forest
38.3603515625,62.57275390625,82.930908203125,2.053134577945101,2.4013911645909265,1.6579772112365065,61.288004557291664,Forest
37.099853515625,60.1376953125,74.329833984375,4.7689834455093605,3.9306220882852028,2.6643898390862986,57.189127604166664,Forest
32.8115234375,55.524658203125,66.703125,5.22596096346291,5.702793430461833,3.9094674249666026,51.679768880208336,Forest
42.770263671875,64.414306640625,81.759765625,3.1753297886069474,3.0943781571438596,2.119110022820514,62.9814453125,Forest
